,year,fuel_type,CO2
0,1949,Cement,
1,1950,Cement,
2,1951,Cement,
3,1952,Cement,
4,1953,Cement,
5,1954,Cement,
6,1955,Cement,
7,1956,Cement,
8,1957,Cement,
9,1958,Cement,
10,1959,Cement,0.018
11,1960,Cement,0.018
12,1961,Cement,0.022
13,1962,Cement,0.029
14,1963,Cement,0.051
15,1964,Cement,0.062
16,1965,Cement,0.084
17,1966,Cement,0.087
18,1967,Cement,0.065
19,1968,Cement,0.047
20,1969,Cement,0.051
21,1970,Cement,0.047
22,1971,Cement,0.043
23,1972,Cement,0.046
24,1973,Cement,0.067
25,1974,Cement,0.07
26,1975,Cement,0.069
27,1976,Cement,0.079
28,1977,Cement,0.065
29,1978,Cement,0.058
30,1979,Cement,0.064
31,1980,Cement,0.023
32,1981,Cement,0.033
33,1982,Cement,0.039
34,1983,Cement,0.006
35,1984,Cement,0.048
36,1985,Cement,0.032
37,1986,Cement,0.038
38,1987,Cement,0.043
39,1988,Cement,0.043
40,1989,Cement,0.043
41,1990,Cement,0.046
42,1991,Cement,0.046
43,1992,Cement,0.046
44,1993,Cement,0.047
45,1994,Cement,0.047
46,1995,Cement,0.047
47,1996,Cement,0.047
48,1997,Cement,0.047
49,1998,Cement,0.047
50,1999,Cement,0.047
51,2000,Cement,0.01
52,2001,Cement,0.007
53,2002,Cement,0.011
54,2003,Cement,0.01
55,2004,Cement,0.01
56,2005,Cement,0.006
57,2006,Cement,0.012
58,2007,Cement,0.012
59,2008,Cement,0.015
60,2009,Cement,0.013
61,2010,Cement,0.015
62,2011,Cement,0.015
63,2012,Cement,0.029
64,2013,Cement,0.036
65,2014,Cement,0.029
66,2015,Cement,0.041
67,2016,Cement,0.076
68,2017,Cement,0.045
69,2018,Cement,0.057
70,2019,Cement,0.038
71,2020,Cement,0.061
72,1884,Cement,
73,1885,Cement,
74,1886,Cement,
75,1887,Cement,
76,1888,Cement,
77,1889,Cement,
78,1890,Cement,
79,1891,Cement,
80,1892,Cement,
81,1893,Cement,
82,1894,Cement,
83,1895,Cement,
84,1896,Cement,
85,1897,Cement,
86,1898,Cement,
87,1899,Cement,
88,1900,Cement,
89,1901,Cement,
90,1902,Cement,
91,1903,Cement,
92,1904,Cement,
93,1905,Cement,
94,1906,Cement,
95,1907,Cement,
96,1908,Cement,
97,1909,Cement,
98,1910,Cement,
99,1911,Cement,
100,1912,Cement,
101,1913,Cement,
102,1914,Cement,
103,1915,Cement,
104,1916,Cement,
105,1917,Cement,
106,1918,Cement,
107,1919,Cement,
108,1920,Cement,
109,1921,Cement,
110,1922,Cement,
111,1923,Cement,
112,1924,Cement,
113,1925,Cement,
114,1926,Cement,
115,1927,Cement,
116,1928,Cement,0.127
117,1929,Cement,0.366
118,1930,Cement,0.261
119,1931,Cement,0.266
120,1932,Cement,0.432
121,1933,Cement,0.464
122,1934,Cement,0.534
123,1935,Cement,0.61
124,1936,Cement,0.691
125,1937,Cement,0.727
126,1938,Cement,0.75
127,1939,Cement,0.73
128,1940,Cement,0.653
129,1941,Cement,0.72
130,1942,Cement,0.77
131,1943,Cement,0.809
132,1944,Cement,0.969
133,1945,Cement,0.937
134,1946,Cement,1.144
135,1947,Cement,1.281
136,1948,Cement,1.424
137,1949,Cement,1.532
138,1950,Cement,2.014
139,1951,Cement,2.269
140,1952,Cement,2.327
141,1953,Cement,2.637
142,1954,Cement,3.041
143,1955,Cement,3.409
144,1956,Cement,3.517
145,1957,Cement,3.681
146,1958,Cement,3.989
147,1959,Cement,4.189
